txnDate,txnType,ticker,market,quantity,pricePerUnit,fee,taxWithheld,note
2025-12-24T00:46:28,DIVIDEND,META,US,1.9238095,0.525,0,0.15,ปันผล META 1.01 USD (ภาษี 0.15 USD)
2025-12-25T00:47:17,DIVIDEND,VOO,US,0.5533597,1.771,0,0.14,ปันผล VOO 0.98 USD (ภาษี 0.14 USD)
2025-12-27T00:09:01,DIVIDEND,NVDA,US,1,0.01,0,0,ปันผล NVDA 0.01 USD
2026-01-07T22:49:00,BUY,VT,US,1.7335981,143.97,0.40,0,Dime! Order (ยอดชำระ 250 USD)
2026-01-08T18:07:00,SELL,NVDA,US,0.5344759,190.24,0.01,0,Dime! Order (ยอดรับ 101.67 USD)
2026-01-08T23:11:00,BUY,QQQ,US,0.4834336,619.56,0.48,0,Dime! Order (ยอดชำระ 300 USD)
2026-01-14T21:43:00,BUY,QQQ,US,0.4831856,619.88,0.48,0,Dime! Order (ยอดชำระ 300 USD)
2026-01-14T21:44:00,BUY,VT,US,2.0752814,144.32,0.48,0,Dime! Order (ยอดชำระ 300 USD)
2026-01-21T23:51:00,BUY,VT,US,0.6963897,143.36,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-01-26T22:02:00,BUY,EOSE,US,7.7958950,16.13,0.20,0,Dime! Order (ยอดชำระ 126 USD)
2026-02-02T21:38:00,BUY,EOSE,US,11.8623962,14.33,0.00,0,Dime! Order ฟรีค่าคอม (ยอดชำระ 170 USD)
2026-02-05T00:29:00,BUY,EOSE,US,12.6837326,11.80,0.24,0,Dime! Order (ยอดชำระ 150 USD)
2026-02-05T00:31:00,BUY,NVDA,US,0.9432788,173.58,0.26,0,Dime! Order (ยอดชำระ 164 USD)
2026-02-07T01:08:30,SELL,NVDA,US,0.9432788,184.242,0.02,0,Dime! Order
2026-02-27T01:13:00,BUY,QQQ,US,0.1384352,604.97,0.13,0,Dime! Order (ยอดชำระ 83.88 USD)
2026-02-27T01:13:00,BUY,VT,US,0.6091872,147.50,0.14,0,Dime! Order (ยอดชำระ 90 USD)
2026-02-27T18:05:00,SELL,EOSE,US,15,7.09,0.18,0,Dime! Order (ยอดรับ 106.22 USD)
2026-03-20T21:53:00,BUY,VT,US,1.9671641,137.22,0.00,0,Dime! Order ฟรีค่าคอม (ยอดชำระ 269.95 USD)
2026-03-24T23:28:56,DIVIDEND,VT,US,5.1039,0.3272,0,0.25,ปันผล VT 1.67 USD (ภาษี 0.25 USD)
2026-03-28T01:27:57,DIVIDEND,QQQ,US,1.10532,0.73282,0,0.12,ปันผล QQQ 0.81 USD (ภาษี 0.12 USD)
2026-04-01T01:37:47,DIVIDEND,VOO,US,0.55543,1.8724,0,0.15,ปันผล VOO 1.04 USD (ภาษี 0.15 USD)
2026-04-08T18:08:00,SELL,VOO,US,0.5537752,603.74,0.02,0,Dime! Order (ยอดรับ 334.32 USD)
2026-04-09T18:09:00,SELL,VT,US,7.0816208,144.67,1.68,0,Dime! Order (ยอดรับ 1022.84 USD)
2026-04-15T18:07:00,SELL,QQQ,US,1.1050544,624.78,1.14,0,Dime! Order (ยอดรับ 689.28 USD)
2026-05-07T00:15:00,BUY,SNDK,US,0.2172442,1380.93,0.00,0,Dime! Order ฟรีค่าคอม (ยอดชำระ 300 USD)
2026-05-07T01:42:00,BUY,MU,US,0.4554772,657.59,0.48,0,Dime! Order (ยอดชำระ 300 USD)
2026-05-07T19:06:00,BUY,SNDK,US,0.1104479,1355.93,0.24,0,Dime! Order (ยอดชำระ 150 USD)
2026-05-07T23:07:00,BUY,SNDK,US,0.2269421,1319.80,0.48,0,Dime! Order (ยอดชำระ 300 USD)
2026-05-07T23:08:00,BUY,MU,US,0.7734210,645.44,0.80,0,Dime! Order (ยอดชำระ 500 USD)
2026-05-11T15:46:00,BUY,MU,US,1,759.73,1.22,0,Dime! Order (ยอดชำระ 760.95 USD)
2026-05-11T18:04:00,SELL,EOSE,US,7,7.47,0.10,0,Dime! Order (ยอดรับ 52.19 USD)
2026-05-11T18:07:00,SELL,MU,US,1.2288983,696.39,1.40,0,Dime! Order (ยอดรับ 854.40 USD)
2026-05-11T18:07:00,SELL,SNDK,US,0.5546343,1432.27,1.30,0,Dime! Order (ยอดรับ 793.09 USD)
2026-05-12T18:03:00,SELL,MU,US,1,807.00,1.33,0,Dime! Order (ยอดรับ 805.67 USD)
2026-05-15T02:55:00,BUY,MU,US,1,784.00,1.26,0,Dime! Order (ยอดชำระ 785.26 USD)
2026-05-18T23:16:00,BUY,MU,US,1,690.00,1.11,0,Dime! Order (ยอดชำระ 691.11 USD)
2026-05-27T18:03:00,SELL,MU,US,1,850.00,1.39,0,Dime! Order (ยอดรับ 848.61 USD)
2026-05-29T18:13:00,SELL,EOSE,US,10.3420239,9.15,0.17,0,Dime! Order (ยอดรับ 94.49 USD)
2026-06-01T22:55:00,BUY,SCHD,US,4.7151152,32.23,0.00,0,Dime! Order ฟรีค่าคอม (ยอดชำระ 152 USD)
2026-06-01T22:56:00,BUY,VOO,US,0.5222121,695.92,0.58,0,Dime! Order (ยอดชำระ 364 USD)
2026-06-02T20:37:00,BUY,QQQM,US,1.0249127,304.90,0.50,0,Dime! Order (ยอดชำระ 313 USD)
2026-06-02T20:40:00,BUY,VOO,US,0.0143391,695.99,0.02,0,Dime! Order (ยอดชำระ 10 USD)
2026-06-03T20:33:00,BUY,SMH,US,0.0498857,640.46,0.05,0,Dime! Order (ยอดชำระ 32 USD)
2026-06-05T20:17:00,BUY,SMH,US,0.0740575,606.69,0.07,0,Dime! Order (ยอดชำระ 45 USD)
2026-06-05T21:21:00,BUY,SCHD,US,0.4909616,32.52,0.03,0,Dime! Order (ยอดชำระ 16 USD)
2026-06-05T21:25:00,BUY,VOO,US,0.0449205,688.99,0.05,0,Dime! Order (ยอดชำระ 31 USD)
2026-06-05T21:27:00,BUY,SMH,US,0.0770640,595.99,0.07,0,Dime! Order (ยอดชำระ 46 USD)
2026-06-05T22:06:00,BUY,QQQM,US,0.2043637,297.99,0.10,0,Dime! Order (ยอดชำระ 61 USD)
2026-06-09T23:44:00,BUY,VOO,US,0.0929784,665.74,0.10,0,Dime! Order (ยอดชำระ 62 USD)
2026-06-09T23:45:00,BUY,QQQM,US,0.1616729,284.09,0.07,0,Dime! Order (ยอดชำระ 46 USD)
2026-06-19T22:00:26,DIVIDEND,SCHD,US,1,0.94,0,0,เงินปันผลส่วนยกเว้นภาษี 0.94 USD
2026-06-26T20:53:00,BUY,GOOGL,US,1,337.00,0.54,0,Dime! Order (ยอดชำระ 337.54 USD)
2026-06-27T01:45:00,BUY,QQQM,US,0.0513024,291.99,0.02,0,Dime! Order (ยอดชำระ 15 USD)
2026-06-27T01:50:00,BUY,VOO,US,0.1113457,672.50,0.12,0,Dime! Order (ยอดชำระ 75 USD)
2026-06-27T02:47:00,BUY,SCHD,US,0.4681250,32.00,0.02,0,Dime! Order (ยอดชำระ 15 USD)
2026-06-27T03:29:59,DIVIDEND,QQQM,US,1.3914,0.35215,0,0.07,ปันผล QQQM 0.49 USD (ภาษี 0.07 USD)
2026-06-30T02:07:35,DIVIDEND,SCHD,US,5.1881,0.2525,0,0.19,ปันผล SCHD 1.31 USD (ภาษี 0.19 USD)
2026-07-01T08:50:05,DIVIDEND,VOO,US,0.6727,1.9622,0,0.19,ปันผล VOO 1.32 USD (ภาษี 0.19 USD)
2026-07-02T22:14:00,BUY,SNDK,US,0.1850468,1796.68,0.53,0,Dime! Order (ยอดชำระ 333 USD)
2026-07-03T00:38:00,BUY,SNDK,US,0.0577546,1728.69,0.16,0,Dime! Order (ยอดชำระ 100 USD)
2026-07-07T20:35:00,BUY,SNDK,US,0.0935324,1603.72,0.00,0,Dime! Order ฟรีแพ็กเกจ (ยอดชำระ 150 USD)
2026-07-07T21:37:00,BUY,SNDK,US,0.0662342,1509.79,0.00,0,Dime! Order ฟรีแพ็กเกจ (ยอดชำระ 100 USD)
